Year,Month,Quarter,City,Store_Type,Customer_Category,Promotion,Revenue,Transactions,Avg_Order_Value,Total_Items
2020,April,2,Atlanta,"Convenience Store",Homemaker,"BOGO (Buy One Get One)",223.71,7,31.96,36
2020,April,2,Atlanta,"Convenience Store",Homemaker,"Discount on Selected Items",1339.33,22,60.88,111
2020,April,2,Atlanta,"Convenience Store",Homemaker,"No Promotion",737.98,11,67.09,70
2020,April,2,Atlanta,"Convenience Store",Middle-Aged,"BOGO (Buy One Get One)",418.00,8,52.25,47
2020,April,2,Atlanta,"Convenience Store",Middle-Aged,"Discount on Selected Items",1054.45,20,52.72,99
2020,April,2,Atlanta,"Convenience Store",Middle-Aged,"No Promotion",965.28,18,53.63,111
2020,April,2,Atlanta,"Convenience Store",Professional,"BOGO (Buy One Get One)",456.34,8,57.04,39
2020,April,2,Atlanta,"Convenience Store",Professional,"Discount on Selected Items",1179.12,19,62.06,97
2020,April,2,Atlanta,"Convenience Store",Professional,"No Promotion",406.17,8,50.77,46
2020,April,2,Atlanta,"Convenience Store",Retiree,"BOGO (Buy One Get One)",486.78,10,48.68,52
2020,April,2,Atlanta,"Convenience Store",Retiree,"Discount on Selected Items",628.24,11,57.11,62
2020,April,2,Atlanta,"Convenience Store",Retiree,"No Promotion",427.71,8,53.46,41
2020,April,2,Atlanta,"Convenience Store","Senior Citizen","BOGO (Buy One Get One)",605.13,9,67.24,33
2020,April,2,Atlanta,"Convenience Store","Senior Citizen","Discount on Selected Items",944.93,19,49.73,118
2020,April,2,Atlanta,"Convenience Store","Senior Citizen","No Promotion",724.64,18,40.26,92
2020,April,2,Atlanta,"Convenience Store",Student,"BOGO (Buy One Get One)",524.97,11,47.72,62
2020,April,2,Atlanta,"Convenience Store",Student,"Discount on Selected Items",307.67,5,61.53,24
2020,April,2,Atlanta,"Convenience Store",Student,"No Promotion",733.47,16,45.84,78
2020,April,2,Atlanta,"Convenience Store",Teenager,"BOGO (Buy One Get One)",451.33,12,37.61,71
2020,April,2,Atlanta,"Convenience Store",Teenager,"Discount on Selected Items",672.72,14,48.05,62
2020,April,2,Atlanta,"Convenience Store",Teenager,"No Promotion",1043.40,22,47.43,112
2020,April,2,Atlanta,"Convenience Store","Young Adult","BOGO (Buy One Get One)",1018.18,20,50.91,103
2020,April,2,Atlanta,"Convenience Store","Young Adult","Discount on Selected Items",724.87,12,60.41,67
2020,April,2,Atlanta,"Convenience Store","Young Adult","No Promotion",629.64,11,57.24,67
2020,April,2,Atlanta,"Department Store",Homemaker,"BOGO (Buy One Get One)",711.77,13,54.75,73
2020,April,2,Atlanta,"Department Store",Homemaker,"Discount on Selected Items",762.87,13,58.68,72
2020,April,2,Atlanta,"Department Store",Homemaker,"No Promotion",590.32,11,53.67,57
2020,April,2,Atlanta,"Department Store",Middle-Aged,"BOGO (Buy One Get One)",653.61,12,54.47,46
2020,April,2,Atlanta,"Department Store",Middle-Aged,"Discount on Selected Items",670.57,15,44.70,83
2020,April,2,Atlanta,"Department Store",Middle-Aged,"No Promotion",380.88,9,42.32,36
2020,April,2,Atlanta,"Department Store",Professional,"BOGO (Buy One Get One)",808.01,14,57.72,64
2020,April,2,Atlanta,"Department Store",Professional,"Discount on Selected Items",590.66,11,53.70,62
2020,April,2,Atlanta,"Department Store",Professional,"No Promotion",1373.28,23,59.71,113
2020,April,2,Atlanta,"Department Store",Retiree,"BOGO (Buy One Get One)",519.07,11,47.19,46
2020,April,2,Atlanta,"Department Store",Retiree,"Discount on Selected Items",396.91,10,39.69,38
2020,April,2,Atlanta,"Department Store",Retiree,"No Promotion",695.61,12,57.97,59
2020,April,2,Atlanta,"Department Store","Senior Citizen","BOGO (Buy One Get One)",731.86,13,56.30,70
2020,April,2,Atlanta,"Department Store","Senior Citizen","Discount on Selected Items",975.33,18,54.19,107
2020,April,2,Atlanta,"Department Store","Senior Citizen","No Promotion",337.36,8,42.17,46
2020,April,2,Atlanta,"Department Store",Student,"BOGO (Buy One Get One)",749.51,14,53.54,68
2020,April,2,Atlanta,"Department Store",Student,"Discount on Selected Items",626.45,11,56.95,50
2020,April,2,Atlanta,"Department Store",Student,"No Promotion",399.56,11,36.32,59
2020,April,2,Atlanta,"Department Store",Teenager,"BOGO (Buy One Get One)",634.50,14,45.32,73
2020,April,2,Atlanta,"Department Store",Teenager,"Discount on Selected Items",474.22,13,36.48,82
2020,April,2,Atlanta,"Department Store",Teenager,"No Promotion",620.63,11,56.42,54
2020,April,2,Atlanta,"Department Store","Young Adult","BOGO (Buy One Get One)",545.50,10,54.55,39
2020,April,2,Atlanta,"Department Store","Young Adult","Discount on Selected Items",481.50,8,60.19,51
2020,April,2,Atlanta,"Department Store","Young Adult","No Promotion",512.88,11,46.63,60
2020,April,2,Atlanta,Pharmacy,Homemaker,"BOGO (Buy One Get One)",840.30,18,46.68,104
2020,April,2,Atlanta,Pharmacy,Homemaker,"Discount on Selected Items",583.76,12,48.65,71
2020,April,2,Atlanta,Pharmacy,Homemaker,"No Promotion",758.10,13,58.32,87
2020,April,2,Atlanta,Pharmacy,Middle-Aged,"BOGO (Buy One Get One)",560.05,11,50.91,56
2020,April,2,Atlanta,Pharmacy,Middle-Aged,"Discount on Selected Items",1374.52,22,62.48,115
2020,April,2,Atlanta,Pharmacy,Middle-Aged,"No Promotion",341.11,8,42.64,48
2020,April,2,Atlanta,Pharmacy,Professional,"BOGO (Buy One Get One)",503.76,10,50.38,52
2020,April,2,Atlanta,Pharmacy,Professional,"Discount on Selected Items",507.21,11,46.11,72
2020,April,2,Atlanta,Pharmacy,Professional,"No Promotion",1023.72,19,53.88,114
2020,April,2,Atlanta,Pharmacy,Retiree,"BOGO (Buy One Get One)",616.89,10,61.69,35
2020,April,2,Atlanta,Pharmacy,Retiree,"Discount on Selected Items",1038.43,15,69.23,87
2020,April,2,Atlanta,Pharmacy,Retiree,"No Promotion",284.23,6,47.37,22
2020,April,2,Atlanta,Pharmacy,"Senior Citizen","BOGO (Buy One Get One)",1041.95,19,54.84,98
2020,April,2,Atlanta,Pharmacy,"Senior Citizen","Discount on Selected Items",295.07,6,49.18,43
2020,April,2,Atlanta,Pharmacy,"Senior Citizen","No Promotion",896.65,13,68.97,67
2020,April,2,Atlanta,Pharmacy,Student,"BOGO (Buy One Get One)",742.84,13,57.14,45
2020,April,2,Atlanta,Pharmacy,Student,"Discount on Selected Items",517.77,14,36.98,76
2020,April,2,Atlanta,Pharmacy,Student,"No Promotion",945.26,16,59.08,89
2020,April,2,Atlanta,Pharmacy,Teenager,"BOGO (Buy One Get One)",588.31,11,53.48,66
2020,April,2,Atlanta,Pharmacy,Teenager,"Discount on Selected Items",694.83,14,49.63,91
2020,April,2,Atlanta,Pharmacy,Teenager,"No Promotion",752.04,11,68.37,53
2020,April,2,Atlanta,Pharmacy,"Young Adult","BOGO (Buy One Get One)",524.41,10,52.44,54
2020,April,2,Atlanta,Pharmacy,"Young Adult","Discount on Selected Items",628.78,16,39.30,78
2020,April,2,Atlanta,Pharmacy,"Young Adult","No Promotion",772.55,15,51.50,87
2020,April,2,Atlanta,"Specialty Store",Homemaker,"BOGO (Buy One Get One)",846.12,14,60.44,90
2020,April,2,Atlanta,"Specialty Store",Homemaker,"Discount on Selected Items",840.51,14,60.04,80
2020,April,2,Atlanta,"Specialty Store",Homemaker,"No Promotion",907.89,15,60.53,90
2020,April,2,Atlanta,"Specialty Store",Middle-Aged,"BOGO (Buy One Get One)",629.46,14,44.96,74
2020,April,2,Atlanta,"Specialty Store",Middle-Aged,"Discount on Selected Items",612.01,11,55.64,44
2020,April,2,Atlanta,"Specialty Store",Middle-Aged,"No Promotion",385.68,9,42.85,58
2020,April,2,Atlanta,"Specialty Store",Professional,"BOGO (Buy One Get One)",1067.91,19,56.21,120
2020,April,2,Atlanta,"Specialty Store",Professional,"Discount on Selected Items",587.30,13,45.18,64
2020,April,2,Atlanta,"Specialty Store",Professional,"No Promotion",702.12,11,63.83,57
2020,April,2,Atlanta,"Specialty Store",Retiree,"BOGO (Buy One Get One)",394.83,7,56.40,35
2020,April,2,Atlanta,"Specialty Store",Retiree,"Discount on Selected Items",1008.98,17,59.35,97
2020,April,2,Atlanta,"Specialty Store",Retiree,"No Promotion",984.10,16,61.51,96
2020,April,2,Atlanta,"Specialty Store","Senior Citizen","BOGO (Buy One Get One)",654.03,15,43.60,74
2020,April,2,Atlanta,"Specialty Store","Senior Citizen","Discount on Selected Items",513.11,12,42.76,49
2020,April,2,Atlanta,"Specialty Store","Senior Citizen","No Promotion",986.34,14,70.45,66
2020,April,2,Atlanta,"Specialty Store",Student,"BOGO (Buy One Get One)",758.70,13,58.36,80
2020,April,2,Atlanta,"Specialty Store",Student,"Discount on Selected Items",814.06,14,58.15,81
2020,April,2,Atlanta,"Specialty Store",Student,"No Promotion",662.10,12,55.18,77
2020,April,2,Atlanta,"Specialty Store",Teenager,"BOGO (Buy One Get One)",614.64,10,61.46,57
2020,April,2,Atlanta,"Specialty Store",Teenager,"Discount on Selected Items",456.54,9,50.73,45
2020,April,2,Atlanta,"Specialty Store",Teenager,"No Promotion",515.23,11,46.84,68
2020,April,2,Atlanta,"Specialty Store","Young Adult","BOGO (Buy One Get One)",730.49,13,56.19,69
2020,April,2,Atlanta,"Specialty Store","Young Adult","Discount on Selected Items",800.82,12,66.74,68
2020,April,2,Atlanta,"Specialty Store","Young Adult","No Promotion",1008.10,21,48.00,129
2020,April,2,Atlanta,Supermarket,Homemaker,"BOGO (Buy One Get One)",748.96,13,57.61,103
2020,April,2,Atlanta,Supermarket,Homemaker,"Discount on Selected Items",605.76,12,50.48,74
2020,April,2,Atlanta,Supermarket,Homemaker,"No Promotion",1173.86,19,61.78,131
2020,April,2,Atlanta,Supermarket,Middle-Aged,"BOGO (Buy One Get One)",1092.31,22,49.65,124
2020,April,2,Atlanta,Supermarket,Middle-Aged,"Discount on Selected Items",1072.25,20,53.61,116
2020,April,2,Atlanta,Supermarket,Middle-Aged,"No Promotion",551.99,10,55.20,41
2020,April,2,Atlanta,Supermarket,Professional,"BOGO (Buy One Get One)",971.06,16,60.69,88
2020,April,2,Atlanta,Supermarket,Professional,"Discount on Selected Items",1009.19,18,56.07,100
2020,April,2,Atlanta,Supermarket,Professional,"No Promotion",976.25,16,61.02,83
2020,April,2,Atlanta,Supermarket,Retiree,"BOGO (Buy One Get One)",1166.97,23,50.74,111
2020,April,2,Atlanta,Supermarket,Retiree,"Discount on Selected Items",529.05,10,52.91,54
2020,April,2,Atlanta,Supermarket,Retiree,"No Promotion",448.96,9,49.88,55
